target_lang|closest_lang_0|tree_dist_0|closest_lang_1|tree_dist_1|closest_lang_2|tree_dist_2|closest_lang_3|tree_dist_3|closest_lang_4|tree_dist_4
aaa|atg|0.631578947368421|ikk|0.5|ibo|0.5|ken|0.47058823529411764|nin|0.4444444444444444
aab|nin|0.5555555555555556|ikk|0.5|ibo|0.5|ken|0.47058823529411764|mkl|0.4444444444444444
aac|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
aad|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
aae|hye|0.5|lit|0.5|grc|0.46153846153846156|bel|0.46153846153846156|lvs|0.46153846153846156
aaf|mal|0.9166666666666666|tam|0.8|kan|0.47619047619047616|tel|0.3333333333333333|ura|0.14285714285714285
aag|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
aah|urt|0.5454545454545454|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222
aai|mox|0.8|tte|0.75|tgo|0.6666666666666666|mpx|0.6666666666666666|rro|0.6153846153846154
aak|byr|0.6|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857
aal|xed|0.625|meq|0.5555555555555556|muy|0.5555555555555556|mqb|0.5333333333333333|hau|0.375
aan|gyr|0.625|kyz|0.625|urb|0.625|gub|0.5882352941176471|ura|0.2
aao|mlt|0.8888888888888888|arb|0.8235294117647058|heb|0.5555555555555556|amh|0.4444444444444444|ura|0.18181818181818182
aap|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
aaq|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222|hun|0.2
aar|som|0.5882352941176471|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222
aas|som|0.4|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857
aat|hye|0.5|lit|0.5|grc|0.46153846153846156|bel|0.46153846153846156|lvs|0.46153846153846156
aau|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
aaw|mbh|0.8275862068965517|apr|0.7407407407407407|met|0.7407407407407407|mee|0.7142857142857143|tbc|0.6896551724137931
aax|ura|0.18181818181818182|cbu|0.18181818181818182|con|0.18181818181818182|ata|0.18181818181818182|hun|0.16666666666666666
aaz|rgu|0.8888888888888888|txq|0.72|llg|0.72|lex|0.5|kje|0.5
aba|nko|0.5555555555555556|fon|0.5333333333333333|ncu|0.5|soy|0.46153846153846156|ikk|0.42857142857142855
abb|poy|0.6363636363636364|ndj|0.6363636363636364|mcp|0.6153846153846154|bss|0.6153846153846154|ken|0.6
abc|sgb|0.7692307692307693|agn|0.5454545454545454|tbl|0.5|jvn|0.5|jav|0.5
abd|ceb|0.7142857142857143|fil|0.6666666666666666|cgc|0.5714285714285714|obo|0.5|agn|0.5
abe|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222|hun|0.2
abf|agn|0.46153846153846156|tbl|0.42857142857142855|jvn|0.42857142857142855|jav|0.42857142857142855|bpr|0.4
abg|kmu|0.8235294117647058|kyg|0.8235294117647058|snp|0.75|tbg|0.4|omw|0.4
abh|arb|0.7777777777777778|mlt|0.7368421052631579|heb|0.5263157894736842|amh|0.42105263157894735|ura|0.16666666666666666
abi|nko|0.5555555555555556|fon|0.5333333333333333|ncu|0.5|soy|0.46153846153846156|ikk|0.42857142857142855
abj|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
abk|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
abl|agn|0.6|tbl|0.5454545454545454|jvn|0.5454545454545454|jav|0.5454545454545454|bpr|0.5
abm|ken|0.5714285714285714|poy|0.5217391304347826|ndj|0.5217391304347826|nhu|0.5|kam|0.48
abn|ikk|0.5333333333333333|ibo|0.5333333333333333|ken|0.5|nin|0.47058823529411764|mkl|0.47058823529411764
abo|ken|0.7058823529411765|poy|0.631578947368421|ndj|0.631578947368421|nhu|0.6|kam|0.5714285714285714
abp|sgb|0.7142857142857143|agn|0.5|tbl|0.46153846153846156|jvn|0.46153846153846156|jav|0.46153846153846156
abq|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
abr|nko|0.6666666666666666|ncu|0.6086956521739131|fon|0.4444444444444444|soy|0.375|ikk|0.35294117647058826
abs|mkn|0.8421052631578947|zsm|0.631578947368421|zlm|0.631578947368421|ind|0.631578947368421|iba|0.6
abt|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
abu|nko|0.7|ncu|0.6363636363636364|fon|0.47058823529411764|soy|0.4|ikk|0.375
abv|arb|0.8235294117647058|mlt|0.7777777777777778|heb|0.5555555555555556|amh|0.4444444444444444|ura|0.18181818181818182
abw|boj|0.5|ura|0.25|cbu|0.25|con|0.25|ata|0.25
abx|yka|0.8571428571428571|agn|0.5|tbl|0.46153846153846156|jvn|0.46153846153846156|jav|0.46153846153846156
aby|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
abz|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
aca|ycn|0.6153846153846154|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222
acd|ncu|0.7407407407407407|nko|0.72|fon|0.36363636363636365|soy|0.3|ikk|0.2857142857142857
ace|mkn|0.625|zsm|0.625|zlm|0.625|ind|0.625|iba|0.5882352941176471
ach|luo|0.7142857142857143|dik|0.5|ura|0.25|cbu|0.25|con|0.25
aci|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
ack|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
acl|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
acm|arb|0.8235294117647058|mlt|0.7777777777777778|heb|0.5555555555555556|amh|0.4444444444444444|ura|0.18181818181818182
acn|atb|0.8235294117647058|ura|0.18181818181818182|cbu|0.18181818181818182|con|0.18181818181818182|ata|0.18181818181818182
acp|kdl|0.5454545454545454|ikk|0.42105263157894735|ibo|0.42105263157894735|ken|0.4|nin|0.38095238095238093
acq|arb|0.8235294117647058|mlt|0.7777777777777778|heb|0.5555555555555556|amh|0.4444444444444444|ura|0.18181818181818182
acs|txu|0.5454545454545454|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857
act|eng|0.5384615384615384|rop|0.5185185185185185|tpi|0.5|srm|0.5|ltz|0.5
acv|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
acw|arb|0.8235294117647058|mlt|0.7777777777777778|heb|0.5555555555555556|amh|0.4444444444444444|ura|0.18181818181818182
acx|arb|0.8235294117647058|mlt|0.7777777777777778|heb|0.5555555555555556|amh|0.4444444444444444|ura|0.18181818181818182
acy|arb|0.8235294117647058|mlt|0.7777777777777778|heb|0.5555555555555556|amh|0.4444444444444444|ura|0.18181818181818182
acz|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
ada|fon|0.5714285714285714|soy|0.5|nko|0.47058823529411764|ikk|0.46153846153846156|ibo|0.46153846153846156
add|ken|0.631578947368421|poy|0.5714285714285714|ndj|0.5714285714285714|nhu|0.5454545454545454|kam|0.5217391304347826
ade|fon|0.5333333333333333|soy|0.46153846153846156|nko|0.4444444444444444|ikk|0.42857142857142855|ibo|0.42857142857142855
adf|arb|0.8235294117647058|mlt|0.7777777777777778|heb|0.5555555555555556|amh|0.4444444444444444|ura|0.18181818181818182
adg|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
adh|luo|0.875|dik|0.42857142857142855|ura|0.2|cbu|0.2|con|0.2
adi|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
adj|nko|0.5555555555555556|fon|0.5333333333333333|ncu|0.5|soy|0.46153846153846156|ikk|0.42857142857142855
adl|ura|0.2|cbu|0.2|con|0.2|ata|0.2|hun|0.18181818181818182
adn|ura|0.2|cbu|0.2|con|0.2|ata|0.2|hun|0.18181818181818182
ado|geb|0.5454545454545454|gai|0.5454545454545454|msy|0.5|ura|0.2857142857142857|cbu|0.2857142857142857
adq|fon|0.625|soy|0.42857142857142855|nko|0.42105263157894735|ikk|0.4|ibo|0.4
adr|nfa|0.6|hvn|0.6|lex|0.5|kje|0.5|txq|0.47619047619047616
adt|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222|hun|0.2
adw|kyz|0.8235294117647058|gyr|0.5882352941176471|urb|0.5882352941176471|gub|0.5555555555555556|ura|0.18181818181818182
adx|taj|0.4|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222
ady|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
adz|bzh|0.72|apr|0.6666666666666666|met|0.6666666666666666|mee|0.64|mbh|0.6153846153846154
aea|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222|hun|0.2
aeb|mlt|0.8888888888888888|arb|0.8235294117647058|heb|0.5555555555555556|amh|0.4444444444444444|ura|0.18181818181818182
aec|arb|0.7777777777777778|mlt|0.7368421052631579|heb|0.5263157894736842|amh|0.42105263157894735|ura|0.16666666666666666
aee|pan|0.6666666666666666|snd|0.6666666666666666|mjl|0.5882352941176471|hns|0.5555555555555556|ory|0.5555555555555556
aek|tnk|0.5185185185185185|tnn|0.5|tnp|0.5|apb|0.46153846153846156|bgt|0.4444444444444444
ael|ken|0.75|poy|0.6666666666666666|ndj|0.6666666666666666|nhu|0.631578947368421|kam|0.6
aem|vie|0.5454545454545454|ura|0.25|cbu|0.25|con|0.25|ata|0.25
aeq|guj|0.8571428571428571|bgc|0.7|hin|0.6666666666666666|urd|0.6666666666666666|mjl|0.5263157894736842
aer|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
aes|ura|0.5|cbu|0.5|con|0.5|ata|0.5|hun|0.4
aeu|atb|0.42105263157894735|ura|0.15384615384615385|cbu|0.15384615384615385|con|0.15384615384615385|ata|0.15384615384615385
aew|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
aey|boj|0.46153846153846156|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222
aez|bjz|0.7058823529411765|ura|0.2|cbu|0.2|con|0.2|ata|0.2
afb|arb|0.8235294117647058|mlt|0.7777777777777778|heb|0.5555555555555556|amh|0.4444444444444444|ura|0.18181818181818182
afd|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
afe|ken|0.7058823529411765|poy|0.631578947368421|ndj|0.631578947368421|nhu|0.6|kam|0.5714285714285714
afi|geb|0.5|gai|0.5|msy|0.46153846153846156|ura|0.25|cbu|0.25
afk|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
afn|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
afo|nin|0.6666666666666666|ikk|0.6153846153846154|ibo|0.6153846153846154|ken|0.5714285714285714|mkl|0.5333333333333333
afp|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
afs|srm|0.7878787878787878|bzj|0.7777777777777778|eng|0.7741935483870968|srn|0.7647058823529411|rop|0.75
aft|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
afu|nko|0.7619047619047619|ncu|0.6956521739130435|fon|0.4444444444444444|soy|0.375|ikk|0.35294117647058826
afz|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
agb|ikk|0.4444444444444444|ibo|0.4444444444444444|ken|0.42105263157894735|nin|0.4|mkl|0.4
agc|ikk|0.5|ibo|0.5|ken|0.47058823529411764|nin|0.4444444444444444|mkl|0.4444444444444444
age|ipi|0.46153846153846156|kyc|0.46153846153846156|ura|0.2|cbu|0.2|con|0.2
agf|amk|0.6666666666666666|apb|0.5263157894736842|tnk|0.5|bgt|0.5|bnp|0.5
agh|lin|0.6111111111111112|umb|0.5333333333333333|poy|0.5|ndj|0.5|kam|0.4666666666666667
agj|amh|0.8888888888888888|arb|0.47058823529411764|heb|0.4444444444444444|mlt|0.4444444444444444|ura|0.18181818181818182
agk|ceb|0.6666666666666666|fil|0.625|cgc|0.5333333333333333|obo|0.47058823529411764|bkd|0.47058823529411764
agl|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
agm|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
ago|byr|0.5454545454545454|ura|0.25|cbu|0.25|con|0.25|ata|0.25
agq|ken|0.5454545454545454|poy|0.5|ndj|0.5|nhu|0.48|kam|0.46153846153846156
ags|ken|0.75|poy|0.6666666666666666|ndj|0.6666666666666666|nhu|0.631578947368421|kam|0.6
agt|prf|0.5|agn|0.46153846153846156|tbl|0.42857142857142855|jvn|0.42857142857142855|jav|0.42857142857142855
agv|sgb|0.6666666666666666|agn|0.6|tbl|0.5454545454545454|jvn|0.5454545454545454|jav|0.5454545454545454
agw|aia|0.9090909090909091|apb|0.8571428571428571|kwf|0.782608695652174|lgl|0.782608695652174|kwd|0.782608695652174
agx|ura|0.18181818181818182|cbu|0.18181818181818182|con|0.18181818181818182|ata|0.18181818181818182|hun|0.16666666666666666
agy|kne|0.5882352941176471|prf|0.5714285714285714|agn|0.5454545454545454|tbl|0.5|jvn|0.5
agz|ceb|0.6666666666666666|fil|0.625|cgc|0.5333333333333333|obo|0.47058823529411764|bkd|0.47058823529411764
aha|nko|0.6363636363636364|ncu|0.5833333333333334|fon|0.42105263157894735|soy|0.35294117647058826|ikk|0.3333333333333333
ahb|klv|0.8888888888888888|upv|0.8|lww|0.6153846153846154|tgp|0.5185185185185185|apb|0.5
ahg|som|0.375|ura|0.25|cbu|0.25|con|0.25|ata|0.25
ahh|ura|0.18181818181818182|cbu|0.18181818181818182|con|0.18181818181818182|ata|0.18181818181818182|hun|0.16666666666666666
ahi|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
ahk|atb|0.42105263157894735|ura|0.15384615384615385|cbu|0.15384615384615385|con|0.15384615384615385|ata|0.15384615384615385
ahl|fon|0.5333333333333333|soy|0.46153846153846156|nko|0.4444444444444444|ikk|0.42857142857142855|ibo|0.42857142857142855
ahm|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
ahn|mkl|0.625|ikk|0.5714285714285714|ibo|0.5714285714285714|ken|0.5333333333333333|nin|0.5
aho|lao|0.782608695652174|ura|0.15384615384615385|cbu|0.15384615384615385|con|0.15384615384615385|ata|0.15384615384615385
ahp|soy|0.5454545454545454|ikk|0.5|ibo|0.5|myk|0.5|bba|0.46153846153846156
ahs|nin|0.6666666666666666|ikk|0.5|ibo|0.5|ken|0.47058823529411764|mkl|0.4444444444444444
aht|dgr|0.6153846153846154|gwi|0.6153846153846154|ura|0.25|cbu|0.25|con|0.25
aib|kaz|0.42857142857142855|tur|0.4|uzn|0.375|azj|0.375|ura|0.2
aic|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
aid|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
aie|mbh|0.8461538461538461|apr|0.8333333333333334|met|0.8333333333333334|mee|0.8|tbc|0.7692307692307693
aif|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
aig|srm|0.8125|bzj|0.8|eng|0.8|srn|0.7878787878787878|rop|0.7741935483870968
aih|lao|0.3|ura|0.2|cbu|0.2|con|0.2|ata|0.2
aii|heb|0.5454545454545454|arb|0.47619047619047616|mlt|0.45454545454545453|amh|0.36363636363636365|ura|0.13333333333333333
aij|heb|0.5|arb|0.43478260869565216|mlt|0.4166666666666667|amh|0.3333333333333333|ura|0.11764705882352941
aik|nin|0.5555555555555556|ikk|0.5|ibo|0.5|ken|0.47058823529411764|mkl|0.4444444444444444
ail|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
aim|cek|0.5714285714285714|zyp|0.5333333333333333|hlt|0.5333333333333333|ura|0.2222222222222222|cbu|0.2222222222222222
ain|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
aio|lao|0.72|ura|0.13333333333333333|cbu|0.13333333333333333|con|0.13333333333333333|ata|0.13333333333333333
aip|ura|0.18181818181818182|cbu|0.18181818181818182|con|0.18181818181818182|ata|0.18181818181818182|hun|0.16666666666666666
aiq|tgk|0.88|pes|0.8695652173913043|pst|0.5|sdh|0.43478260869565216|glk|0.43478260869565216
air|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
ait|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
aiw|amf|0.6|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857
aix|mbh|0.8571428571428571|apr|0.7692307692307693|met|0.7692307692307693|mee|0.7407407407407407|tbc|0.7142857142857143
aiy|soy|0.47058823529411764|myk|0.4444444444444444|bba|0.42105263157894735|spp|0.42105263157894735|cme|0.4
aja|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
ajg|fon|0.7142857142857143|soy|0.5|nko|0.47058823529411764|ikk|0.46153846153846156|ibo|0.46153846153846156
aji|tnk|0.5833333333333334|tnn|0.56|tnp|0.56|apb|0.5217391304347826|bgt|0.5
ajn|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
ajp|arb|0.8235294117647058|mlt|0.7777777777777778|heb|0.5555555555555556|amh|0.4444444444444444|ura|0.18181818181818182
ajt|mlt|0.8421052631578947|arb|0.7777777777777778|heb|0.5263157894736842|amh|0.42105263157894735|ura|0.16666666666666666
aju|mlt|0.8888888888888888|arb|0.8235294117647058|heb|0.5555555555555556|amh|0.4444444444444444|ura|0.18181818181818182
ajw|hau|0.5714285714285714|mqb|0.46153846153846156|xed|0.42857142857142855|meq|0.375|daa|0.375
ajz|cek|0.5|zyp|0.46153846153846156|hlt|0.46153846153846156|ura|0.2857142857142857|cbu|0.2857142857142857
aka|nko|0.6666666666666666|ncu|0.6086956521739131|fon|0.4444444444444444|soy|0.375|ikk|0.35294117647058826
akb|agn|0.42857142857142855|tbl|0.4|jvn|0.4|jav|0.4|bpr|0.375
akc|ura|0.5|cbu|0.5|con|0.5|ata|0.5|hun|0.4
akd|ikk|0.5714285714285714|ibo|0.5714285714285714|ken|0.5333333333333333|nin|0.5|mkl|0.5
akf|ikk|0.5714285714285714|ibo|0.5714285714285714|ken|0.5333333333333333|nin|0.5|mkl|0.5
akg|nfa|0.7272727272727273|hvn|0.7272727272727273|lex|0.45454545454545453|kje|0.45454545454545453|txq|0.43478260869565216
akh|ipi|0.46153846153846156|kyc|0.46153846153846156|ura|0.2|cbu|0.2|con|0.2
aki|geb|0.5454545454545454|gai|0.5454545454545454|msy|0.5|ura|0.2857142857142857|cbu|0.2857142857142857
akj|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
akk|arb|0.46153846153846156|heb|0.42857142857142855|mlt|0.42857142857142855|amh|0.42857142857142855|ura|0.2857142857142857
akl|ceb|0.8|fil|0.625|cgc|0.5333333333333333|obo|0.47058823529411764|bkd|0.47058823529411764
akm|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
ako|car|0.6|ura|0.25|cbu|0.25|con|0.25|ata|0.25
akp|fon|0.5|soy|0.42857142857142855|nko|0.42105263157894735|ikk|0.4|ibo|0.4
akq|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
akr|tgp|0.9230769230769231|upv|0.5833333333333334|lww|0.56|klv|0.5384615384615384|apb|0.5217391304347826
aks|gux|0.8387096774193549|gng|0.8387096774193549|xon|0.8387096774193549|tbz|0.6666666666666666|box|0.6153846153846154
akt|mbh|0.8275862068965517|apr|0.7407407407407407|met|0.7407407407407407|mee|0.7142857142857143|tbc|0.6896551724137931
aku|nin|0.5882352941176471|ikk|0.5333333333333333|ibo|0.5333333333333333|ken|0.5|mkl|0.47058823529411764
akv|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
akw|umb|0.6666666666666666|lin|0.6666666666666666|poy|0.6363636363636364|ndj|0.6363636363636364|ken|0.6
akx|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
aky|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
akz|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
ala|ikk|0.5|ibo|0.5|ken|0.47058823529411764|nin|0.4444444444444444|mkl|0.4444444444444444
alc|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
ald|nko|0.5555555555555556|fon|0.5333333333333333|ncu|0.5|soy|0.46153846153846156|ikk|0.42857142857142855
ale|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
alf|ken|0.6666666666666666|poy|0.6|ndj|0.6|nhu|0.5714285714285714|kam|0.5454545454545454
alh|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
ali|boj|0.5454545454545454|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857
alj|agn|0.6|tbl|0.5454545454545454|jvn|0.5454545454545454|jav|0.5454545454545454|bpr|0.5
alk|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
all|mal|0.9166666666666666|tam|0.8|kan|0.47619047619047616|tel|0.3333333333333333|ura|0.14285714285714285
alm|tgp|0.72|upv|0.6086956521739131|lww|0.5833333333333334|klv|0.56|apb|0.5454545454545454
aln|hye|0.5454545454545454|lit|0.5454545454545454|grc|0.5|bel|0.5|lvs|0.5
alo|alp|0.6153846153846154|nfa|0.43478260869565216|lex|0.43478260869565216|hvn|0.43478260869565216|kje|0.43478260869565216
alq|ura|0.18181818181818182|cbu|0.18181818181818182|con|0.18181818181818182|ata|0.18181818181818182|hun|0.16666666666666666
alr|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
als|hye|0.5|lit|0.5|grc|0.46153846153846156|bel|0.46153846153846156|lvs|0.46153846153846156
alt|kaz|0.6666666666666666|tur|0.46153846153846156|uzn|0.42857142857142855|azj|0.42857142857142855|ura|0.25
alu|kwf|0.8333333333333334|lgl|0.8333333333333334|kwd|0.8333333333333334|apb|0.8181818181818182|far|0.8
alw|som|0.42105263157894735|ura|0.18181818181818182|cbu|0.18181818181818182|con|0.18181818181818182|ata|0.18181818181818182
alx|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
aly|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
alz|luo|0.8|dik|0.46153846153846156|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222
ama|gyr|0.625|kyz|0.625|urb|0.625|gub|0.5882352941176471|ura|0.2
amb|ken|0.7058823529411765|poy|0.631578947368421|ndj|0.631578947368421|nhu|0.6|kam|0.5714285714285714
amc|cbs|0.8571428571428571|mcd|0.8|yaa|0.8|kaq|0.6666666666666666|shp|0.6666666666666666
amg|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
ami|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
amj|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
aml|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
amm|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
amn|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
amo|kdl|0.6|ikk|0.47058823529411764|ibo|0.47058823529411764|ken|0.4444444444444444|nin|0.42105263157894735
amp|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
amq|alp|0.5333333333333333|nfa|0.37037037037037035|lex|0.37037037037037035|hvn|0.37037037037037035|kje|0.37037037037037035
amr|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
ams|ura|0.2|cbu|0.2|con|0.2|ata|0.2|hun|0.18181818181818182
amt|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
amu|azg|0.8333333333333334|trc|0.6153846153846154|mxb|0.5714285714285714|mie|0.5333333333333333|mit|0.5333333333333333
amv|alp|0.5714285714285714|nfa|0.5555555555555556|lex|0.5555555555555556|hvn|0.5555555555555556|kje|0.5555555555555556
amw|heb|0.6|arb|0.5263157894736842|mlt|0.5|amh|0.4|ura|0.15384615384615385
amx|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
amy|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
amz|ura|0.2|cbu|0.2|con|0.2|ata|0.2|hun|0.18181818181818182
ana|ura|0.5|cbu|0.5|con|0.5|ata|0.5|hun|0.4
anb|arl|0.8|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857
anc|hau|0.6666666666666666|mqb|0.42857142857142855|xed|0.4|meq|0.35294117647058826|daa|0.35294117647058826
and|amk|0.9166666666666666|apb|0.45454545454545453|tnk|0.43478260869565216|bgt|0.43478260869565216|bnp|0.43478260869565216
ane|tnk|0.6086956521739131|tnn|0.5833333333333334|tnp|0.5833333333333334|apb|0.5454545454545454|bgt|0.5217391304347826
anf|fon|0.5333333333333333|soy|0.46153846153846156|nko|0.4444444444444444|ikk|0.42857142857142855|ibo|0.42857142857142855
ang|eng|0.782608695652174|rop|0.75|tpi|0.72|srm|0.72|tcs|0.72
anh|boj|0.375|ura|0.16666666666666666|cbu|0.16666666666666666|con|0.16666666666666666|ata|0.16666666666666666
ani|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
anj|geb|0.5454545454545454|gai|0.5454545454545454|msy|0.5|ura|0.2857142857142857|cbu|0.2857142857142857
